,e250,e25,rs250,rs25,e250_err,e25_err,rs250_err,rs25_err
0.01,6.0374,3.7645999999999997,4.3804,2.068,1.0217060438306118,1.2056122262153781,1.2608996153540535,0.8940738224553944
0.02,6.2836,3.7616,4.533200000000001,2.3968000000000003,1.4434829545235373,1.0695258014653035,1.1303777067865413,1.363339194771426
0.03,5.8344000000000005,4.1148,4.3836,2.2602,1.094358551846697,1.2945041367257193,1.1024767752655835,1.1944010884120964
0.04,5.868800000000001,3.8936000000000006,4.2144,2.3816,1.158013195088899,1.155373117222311,1.1256929599140257,1.1882143914294254
0.05,5.7840000000000025,3.3659999999999997,4.220000000000001,2.381,1.1343033104068772,0.9002466328734587,1.0672862783714594,1.0897655711206884
0.060000000000000005,5.8488,3.8148,4.305600000000001,2.2403999999999997,1.2983445459507275,1.0296314680505838,1.4386773926075298,1.2194981918805785
0.06999999999999999,5.739999999999998,3.6357999999999997,4.520599999999999,2.1252,1.0884043366323013,1.1160915553842343,1.3441523871942493,1.1012724276944375
0.08,5.777599999999999,3.9232,4.272,2.2928,1.1319691868597836,1.2054234774551225,1.110127920556906,1.0826468306885677
0.09,5.716799999999999,3.5189999999999997,4.608,2.2932,1.1284492722315875,1.1705883136269557,1.4019215384606942,1.2975290979396186
0.09999999999999999,5.841999999999998,3.8919999999999995,4.329999999999999,2.0580000000000003,1.502942447334561,1.2105932430011328,1.1128791488746657,1.2086504871136237
0.11,5.5154,3.6146000000000003,4.774,2.211,1.3716095800190375,1.197133593213389,1.298931868883045,1.0947625313281415
0.12,5.4479999999999995,3.770399999999999,4.404,2.2752,1.2866328147533,1.3882895375245037,1.533419707712145,1.1459742405481896
0.13,5.8838,3.6374,4.4278,2.2672000000000003,1.6069198984392472,1.18049448961018,1.1986563978054763,1.3795101159469618
0.14,5.6895999999999995,3.6148000000000002,4.2812,2.0552,1.0613292797242524,1.2942816385933937,1.090595507051079,1.0247540973326235
0.15000000000000002,5.379000000000001,3.7200000000000006,4.266000000000001,2.208,0.9904589845117264,1.2137956994486345,1.0788160176786403,0.935807672548158
0.16,5.8208,3.2512,3.9808000000000003,2.1632000000000002,1.2479548709789152,1.0853803757208806,0.9954211972828387,1.1067744847077026
0.17,5.6168,3.4646,4.277200000000001,2.0196,1.1250661136128846,0.990030726795891,1.4183991539760592,1.099961744789336
0.18000000000000002,5.7816,3.4776000000000007,4.0824,2.0952,1.2888000000000002,0.9888145629995547,1.429811959664627,0.9604379001268122
0.19,5.635400000000001,3.4693999999999994,3.9254000000000002,2.5156000000000005,1.23462578946011,1.2376629751269124,1.0200788400903138,1.152947804542773
0.2,5.444,3.684,4.508000000000001,2.404,1.005019402797777,1.3752614296925512,1.5058339881939178,1.2569741445232676
0.21000000000000002,5.611200000000001,3.8010000000000006,3.759000000000001,2.1966,1.5965746333948816,1.4797178785160365,1.075929830425758,1.1457689295839717
0.22,5.6364,3.2163999999999997,3.9160000000000004,1.9844,1.2652505838765695,0.9476766537168677,1.2522619534266781,1.2101919847693587
