,0.001,0.01,1.0,10.0
0.0,597.6627479999999,643.26321,816.278,43.92
5.025125628140704,478.11076099999997,321.05292,234.819,-215.086
10.050251256281408,510.181907,501.44658,529.746,-190.412
15.075376884422113,277.828413,361.83661,351.302,-310.634
20.100502512562816,586.738998,396.26944,496.312,-81.85
25.12562814070352,459.72689399999996,431.69451000000004,282.243,-310.518
30.150753768844226,395.722722,252.79973,392.881,-235.42
35.175879396984925,374.472893,339.67472,433.677,-197.538
40.20100502512563,324.77277300000003,299.98271,268.495,-166.9
45.22613065326634,713.4965680000001,293.26875,200.438,-283.504
50.25125628140704,463.283505,344.53586,193.417,-360.886
55.276381909547744,240.891946,353.20620999999994,228.744,-239.504
60.30150753768845,542.1996100000001,329.22535000000005,355.172,3.02
65.32663316582915,522.044159,432.35482,326.257,-223.23
70.35175879396985,489.234446,533.896,262.965,-341.752
75.37688442211056,510.07214200000004,365.81816,194.41,-55.986
80.40201005025126,305.012351,487.52461,393.843,-233.78
85.42713567839196,358.107342,607.72321,901.943,-228.67
90.45226130653268,508.503917,287.3735,401.703,-255.7
95.47738693467338,471.466343,345.60956999999996,341.633,-280.276
100.50251256281408,610.788591,675.74298,387.956,-296.876
105.52763819095479,694.8917140000001,534.7517799999999,298.728,-213.514
110.55276381909549,465.055935,398.97695999999996,499.848,-215.22
115.57788944723619,447.355481,643.20816,690.722,-281.04
120.6030150753769,212.188491,146.422,220.403,-353.796
125.6281407035176,212.743663,473.45489000000003,617.627,-207.922
130.6532663316583,549.0939790000001,372.1283,163.171,-346.742
135.678391959799,659.5087900000001,304.75014,474.056,-384.674
140.7035175879397,681.773709,314.38424,502.932,-348.058
145.72864321608043,247.99636599999997,536.61999,458.746,-136.33
150.75376884422113,274.66712399999994,297.66032999999993,282.919,-312.386
155.77889447236183,327.143169,277.3544,354.03,-283.534
160.80402010050253,396.21942700000005,490.00629,291.306,-358.742
165.82914572864323,306.43654699999996,292.42207,246.478,-219.97
170.85427135678393,283.542486,574.56236,723.236,-268.468
175.87939698492463,454.635089,378.21441000000004,450.325,-326.132
180.90452261306535,285.70135,554.20124,273.404,-374.392
185.92964824120605,395.42781699999995,362.34229000000005,379.451,-244.458
190.95477386934675,366.24082400000003,553.0103200000001,363.243,-157.79
195.97989949748745,908.9635920000001,215.66225,476.044,-380.984
201.00502512562815,315.126777,269.19993,485.439,-163.744
206.03015075376885,595.428452,275.56217000000004,250.476,-290.292
211.05527638190958,281.47812400000004,438.37392,364.015,-339.33
216.08040201005028,369.938029,385.11780999999996,360.072,-100.316
221.10552763819098,493.669181,372.51575,389.43,-83.666
226.13065326633168,336.381081,272.79826,737.452,-274.206
231.15577889447238,274.37917100000004,465.50251999999995,362.396,-380.034
236.18090452261308,566.1718659999999,426.29071000000005,390.33,-156.078
241.2060301507538,567.053836,718.04249,284.594,-220.51
246.2311557788945,339.819818,431.67331,179.756,-221.91
251.2562814070352,501.456832,345.4738,351.609,-246.62
256.2814070351759,577.154059,441.36729,245.286,-169.996
261.3065326633166,627.114411,322.55649,387.015,-297.466
266.3316582914573,269.044815,381.53568000000007,415.681,-230.864
271.356783919598,462.90093099999996,369.26327999999995,467.802,-130.586
276.3819095477387,278.09131700000006,295.02509999999995,347.687,-250.108
281.4070351758794,377.033396,558.1614599999999,282.602,-204.418
286.4321608040201,918.4516900000001,302.33014000000003,422.71,-68.06
291.45728643216086,440.67682,205.24054,303.809,-298.492
296.48241206030156,505.12622,351.74798000000004,273.637,-293.4
301.50753768844226,454.629979,557.2620400000001,283.843,-89.306
306.53266331658295,306.12782,480.52396,240.885,-325.2
311.55778894472365,387.99788800000005,582.29116,331.047,-389.432
316.58291457286435,351.51555999999994,744.99654,147.833,-195.396
321.60804020100505,429.73878800000006,454.5124199999999,345.736,-117.808
326.63316582914575,485.879643,346.78082,601.948,-359.704
331.65829145728645,380.90618299999994,421.34838,253.892,-221.492
336.68341708542715,278.86178,352.46014999999994,280.521,-270.34
