,0.01,0.1,1.0,10.0,100.0
0.0,747.17899,692.8413,698.165,-510.578,-8171.034
0.5025125628140703,418.79221,254.9385,317.611,-350.936,-5564.226
1.0050251256281406,303.60492,460.3521999999999,429.264,-176.35,-5561.386
1.507537688442211,392.20977,286.76570000000004,387.42,-215.816,-5396.65
2.0100502512562812,610.5021899999999,268.4523,286.438,-291.898,-6692.602
2.5125628140703515,372.40194,519.3817,387.023,-256.526,-5191.584
3.015075376884422,228.2508,491.38230000000004,308.616,-58.66,-4219.418
3.517587939698492,269.05685,344.40040000000005,357.305,-245.308,-5753.782
4.0201005025125625,347.64848,389.15419999999995,306.363,-307.002,-3414.506
4.522613065326633,541.22874,767.1175999999998,154.449,-339.296,-6971.974
5.025125628140703,370.4335,350.4393,214.312,-293.912,-6244.538
5.527638190954773,417.79021,397.9194,245.786,-258.524,-4961.984
6.030150753768844,226.27252999999996,401.6526,467.204,-327.474,-7797.578
6.532663316582914,473.83173,419.0805,535.152,-370.536,-5235.09
7.035175879396984,273.40220999999997,403.1477,398.123,-130.438,-6533.346
7.537688442211055,473.81220999999994,339.34829999999994,572.942,-232.642,-6949.46
8.040201005025125,261.39302999999995,271.2199,256.179,-348.484,-5784.952
8.542713567839195,340.38541000000004,585.4301999999999,455.038,-276.374,-5398.374
9.045226130653266,429.14349,443.8919,182.119,-324.188,-6361.29
9.547738693467336,405.10392,436.84479999999996,457.81,-352.342,-6776.216
10.050251256281406,315.66128999999995,259.4595,426.605,-177.944,-6136.55
10.552763819095476,305.4351,357.24660000000006,326.743,-193.44,-5639.458
11.055276381909547,296.02456,561.1071999999999,378.352,-176.198,-6307.102
11.557788944723617,349.86328,367.5038,357.191,-346.764,-7982.402
12.060301507537687,271.84053,468.749,247.431,-325.514,-6497.228
12.562814070351758,381.4686,494.4829,646.772,-311.688,-6634.272
13.065326633165828,364.81921000000006,208.3603,222.522,-332.97,-7280.794
13.567839195979898,393.17323999999996,296.646,266.39,-278.496,-5112.132
14.070351758793969,424.10079999999994,324.51419999999996,219.577,-227.876,-4187.78
14.572864321608039,304.56032000000005,703.7388000000001,341.322,-224.18,-6683.146
15.07537688442211,351.78866999999997,211.68049999999997,234.759,-464.15,-6716.716
15.57788944723618,359.93312,352.77959999999996,323.446,-212.21,-4960.432
