,miji,rji,tji
0,0.01,0.008,0.992
1,0.05061224489795919,0.041,0.959
2,0.09122448979591836,0.096,0.904
3,0.13183673469387755,0.104,0.896
4,0.17244897959183675,0.122,0.878
5,0.21306122448979592,0.153,0.847
6,0.2536734693877551,0.172,0.828
7,0.2942857142857143,0.167,0.833
8,0.3348979591836735,0.22,0.78
9,0.37551020408163266,0.219,0.781
10,0.41612244897959183,0.224,0.776
11,0.45673469387755106,0.218,0.782
12,0.49734693877551023,0.242,0.758
13,0.5379591836734694,0.237,0.763
14,0.5785714285714286,0.274,0.726
15,0.6191836734693877,0.298,0.702
16,0.659795918367347,0.252,0.748
17,0.7004081632653062,0.292,0.708
18,0.7410204081632653,0.3,0.7
19,0.7816326530612245,0.304,0.696
20,0.8222448979591837,0.302,0.698
21,0.8628571428571429,0.302,0.698
22,0.9034693877551021,0.316,0.684
23,0.9440816326530612,0.336,0.664
24,0.9846938775510204,0.315,0.685
25,1.0253061224489797,0.329,0.671
26,1.0659183673469388,0.341,0.659
27,1.106530612244898,0.366,0.634
28,1.1471428571428572,0.339,0.661
29,1.1877551020408164,0.352,0.648
30,1.2283673469387755,0.347,0.653
31,1.2689795918367348,0.339,0.661
32,1.309591836734694,0.346,0.654
33,1.350204081632653,0.35,0.65
34,1.3908163265306124,0.381,0.619
35,1.4314285714285715,0.39,0.61
36,1.4720408163265306,0.371,0.629
37,1.51265306122449,0.398,0.602
38,1.553265306122449,0.376,0.624
39,1.5938775510204082,0.39,0.61
40,1.6344897959183673,0.396,0.604
41,1.6751020408163266,0.399,0.601
42,1.7157142857142857,0.356,0.644
43,1.7563265306122449,0.361,0.639
44,1.7969387755102042,0.393,0.607
45,1.8375510204081633,0.381,0.619
46,1.8781632653061224,0.392,0.608
47,1.9187755102040818,0.371,0.629
48,1.9593877551020409,0.388,0.612
49,2.0,0.393,0.607
50,2.0,0.423,0.577
51,2.125,0.398,0.602
52,2.25,0.426,0.574
53,2.375,0.408,0.592
54,2.5,0.414,0.586
55,2.625,0.436,0.564
56,2.75,0.429,0.571
57,2.875,0.432,0.568
58,3.0,0.416,0.584
59,3.125,0.444,0.556
60,3.25,0.432,0.568
61,3.375,0.445,0.555
62,3.5,0.427,0.573
63,3.625,0.43,0.57
64,3.75,0.443,0.557
65,3.875,0.449,0.551
66,4.0,0.473,0.527
67,4.125,0.432,0.568
68,4.25,0.45,0.55
69,4.375,0.443,0.557
70,4.5,0.454,0.546
71,4.625,0.416,0.584
72,4.75,0.468,0.532
73,4.875,0.464,0.536
74,5.0,0.476,0.524
