,m_hat
0.0,4.684304
0.10204081632653061,4.542018946739362
0.20408163265306123,4.426505563217084
0.30612244897959184,4.302903242905915
0.40816326530612246,4.190604894066088
0.5102040816326531,4.0903729032627245
0.6122448979591837,3.9851683973144207
0.7142857142857143,3.904316874867093
0.8163265306122449,3.807150056349779
0.9183673469387755,3.722847757978003
1.0204081632653061,3.6460530437762753
1.1224489795918369,3.5751697034122607
1.2244897959183674,3.500119459679081
1.3265306122448979,3.4388872881245787
1.4285714285714286,3.363851533536308
1.5306122448979593,3.301368577393117
1.6326530612244898,3.249547799792546
1.7346938775510203,3.1920781422131164
1.836734693877551,3.1434359278470403
1.9387755102040818,3.085495123164642
2.0408163265306123,3.0404722288606636
2.142857142857143,2.9966236872034067
2.2448979591836737,2.951645704813157
2.3469387755102042,2.9020972126956552
2.4489795918367347,2.8656459152460174
2.5510204081632653,2.8309957493020663
2.6530612244897958,2.7897112319945223
2.7551020408163267,2.7522384268454463
2.857142857142857,2.7113023468456476
2.9591836734693877,2.6832954649656835
3.0612244897959187,2.6537533187406668
3.163265306122449,2.6165412656352007
3.2653061224489797,2.590457045846093
3.36734693877551,2.557107613027535
3.4693877551020407,2.525696905798201
3.5714285714285716,2.505065414764479
3.673469387755102,2.479320279812277
3.7755102040816326,2.4498687186920374
3.8775510204081636,2.42496921144886
3.979591836734694,2.402560012825377
4.081632653061225,2.3743035451460828
4.183673469387755,2.3576819274261402
4.285714285714286,2.3405561911676567
4.387755102040816,2.320918882360188
4.4897959183673475,2.2959626710713716
4.591836734693878,2.2772702625981784
4.6938775510204085,2.2594515946401055
4.795918367346939,2.2353135906224604
4.8979591836734695,2.2210361521051367
5.0,2.202194526836175
