,m_hat
0.0,3.0607093309312545
0.10204081632653061,3.0139774031012636
0.20408163265306123,2.96695519864082
0.30612244897959184,2.922429270527083
0.40816326530612246,2.880644741010319
0.5102040816326531,2.840282307734972
0.6122448979591837,2.8019236468640054
0.7142857142857143,2.7643127754424706
0.8163265306122449,2.728954871889331
0.9183673469387755,2.6949611729369316
1.0204081632653061,2.660855983974612
1.1224489795918369,2.62998874467123
1.2244897959183674,2.5998072556974146
1.3265306122448979,2.569222960898411
1.4285714285714286,2.5402638501160397
1.5306122448979593,2.513213010205434
1.6326530612244898,2.485547032242206
1.7346938775510203,2.462198170523238
1.836734693877551,2.4377940464559313
1.9387755102040818,2.4128155052633806
2.0408163265306123,2.388464125917836
2.142857142857143,2.366688108592078
2.2448979591836737,2.344426624864304
2.3469387755102042,2.3255161107241467
2.4489795918367347,2.3048845430266667
2.5510204081632653,2.2833766860959726
2.6530612244897958,2.2671549328962493
2.7551020408163267,2.2481600624001747
2.857142857142857,2.2299888755494877
2.9591836734693877,2.2130899971838947
3.0612244897959187,2.1968493646408715
3.163265306122449,2.1813893313260375
3.2653061224489797,2.16584615432358
3.36734693877551,2.149022924921846
3.4693877551020407,2.135082939491358
3.5714285714285716,2.121839283639958
3.673469387755102,2.1095130708731946
3.7755102040816326,2.0934559764104463
3.8775510204081636,2.081581513815212
3.979591836734694,2.0694383104793745
4.081632653061225,2.0575714303034545
4.183673469387755,2.0450219584537948
4.285714285714286,2.0349008038498675
4.387755102040816,2.0244446439364214
4.4897959183673475,2.0147493467969464
4.591836734693878,2.003959372286084
4.6938775510204085,1.9958168641738425
4.795918367346939,1.985278443458776
4.8979591836734695,1.9765890556472154
5.0,1.9651548461647421
