,miji,rji,tji
0,0.01,0.0108,0.9892
1,0.05061224489795919,0.0471,0.9529
2,0.09122448979591836,0.0807,0.9193
3,0.13183673469387755,0.1055,0.8945
4,0.17244897959183675,0.1285,0.8715
5,0.21306122448979592,0.1497,0.8503
6,0.2536734693877551,0.1751,0.8249
7,0.2942857142857143,0.1864,0.8136
8,0.3348979591836735,0.2031,0.7969
9,0.37551020408163266,0.2089,0.7911
10,0.41612244897959183,0.2271,0.7729
11,0.45673469387755106,0.2377,0.7623
12,0.49734693877551023,0.2475,0.7525
13,0.5379591836734694,0.2552,0.7448
14,0.5785714285714286,0.2735,0.7265
15,0.6191836734693877,0.2775,0.7225
16,0.659795918367347,0.2828,0.7172
17,0.7004081632653062,0.2844,0.7156
18,0.7410204081632653,0.312,0.688
19,0.7816326530612245,0.2975,0.7025
20,0.8222448979591837,0.3155,0.6845
21,0.8628571428571429,0.3249,0.6751
22,0.9034693877551021,0.3223,0.6777
23,0.9440816326530612,0.3355,0.6645
24,0.9846938775510204,0.3363,0.6637
25,1.0253061224489797,0.3353,0.6647
26,1.0659183673469388,0.3464,0.6536
27,1.106530612244898,0.3434,0.6566
28,1.1471428571428572,0.3471,0.6529
29,1.1877551020408164,0.3603,0.6397
30,1.2283673469387755,0.3536,0.6464
31,1.2689795918367348,0.3629,0.6371
32,1.309591836734694,0.3582,0.6418
33,1.350204081632653,0.3626,0.6374
34,1.3908163265306124,0.3684,0.6316
35,1.4314285714285715,0.371,0.629
36,1.4720408163265306,0.3796,0.6204
37,1.51265306122449,0.3756,0.6244
38,1.553265306122449,0.3855,0.6145
39,1.5938775510204082,0.3861,0.6139
40,1.6344897959183673,0.3796,0.6204
41,1.6751020408163266,0.3889,0.6111
42,1.7157142857142857,0.385,0.615
43,1.7563265306122449,0.3805,0.6195
44,1.7969387755102042,0.3921,0.6079
45,1.8375510204081633,0.4006,0.5994
46,1.8781632653061224,0.395,0.605
47,1.9187755102040818,0.3901,0.6099
48,1.9593877551020409,0.3878,0.6122
49,2.0,0.4007,0.5993
50,2.0,0.4014,0.5986
51,2.125,0.4082,0.5918
52,2.25,0.4098,0.5902
53,2.375,0.409,0.591
54,2.5,0.4128,0.5872
55,2.625,0.425,0.575
56,2.75,0.4279,0.5721
57,2.875,0.4266,0.5734
58,3.0,0.4347,0.5653
59,3.125,0.4334,0.5666
60,3.25,0.4312,0.5688
61,3.375,0.4255,0.5745
62,3.5,0.4396,0.5604
63,3.625,0.4436,0.5564
64,3.75,0.4456,0.5544
65,3.875,0.4429,0.5571
66,4.0,0.4443,0.5557
67,4.125,0.4482,0.5518
68,4.25,0.4453,0.5547
69,4.375,0.4486,0.5514
70,4.5,0.4488,0.5512
71,4.625,0.4502,0.5498
72,4.75,0.4513,0.5487
73,4.875,0.4571,0.5429
74,5.0,0.4642,0.5358
