,m_hat
0.0,3.060316801090011
0.10204081632653061,3.012112438700275
0.20408163265306123,2.9723808143310237
0.30612244897959184,2.9209626578679955
0.40816326530612246,2.8756905060069866
0.5102040816326531,2.8379443279068646
0.6122448979591837,2.8013656396842572
0.7142857142857143,2.765786492788565
0.8163265306122449,2.730999302757107
0.9183673469387755,2.7028568181693866
1.0204081632653061,2.662489331651335
1.1224489795918369,2.6311270102010407
1.2244897959183674,2.6039036372751183
1.3265306122448979,2.569746390902384
1.4285714285714286,2.534014541764879
1.5306122448979593,2.517757483879631
1.6326530612244898,2.483364754979955
1.7346938775510203,2.4599315816048772
1.836734693877551,2.434940377843032
1.9387755102040818,2.4146353976792785
2.0408163265306123,2.389129291843064
2.142857142857143,2.3653066654719184
2.2448979591836737,2.3453335371535298
2.3469387755102042,2.3260357318448808
2.4489795918367347,2.3067279826323457
2.5510204081632653,2.2881684551070403
2.6530612244897958,2.270183897079372
2.7551020408163267,2.244530087925593
2.857142857142857,2.2304261610802976
2.9591836734693877,2.2105049603472846
3.0612244897959187,2.197085892639187
3.163265306122449,2.1821627822415466
3.2653061224489797,2.1695888465411346
3.36734693877551,2.1487960867671183
3.4693877551020407,2.134417507855426
3.5714285714285716,2.1241916702128196
3.673469387755102,2.1115006141925625
3.7755102040816326,2.0986307433538376
3.8775510204081636,2.0871783749353403
3.979591836734694,2.072840176097558
4.081632653061225,2.0540078996553413
4.183673469387755,2.0479530073681027
4.285714285714286,2.038048913147291
4.387755102040816,2.0237682974012285
4.4897959183673475,2.0102453648084007
4.591836734693878,2.0000010885286006
4.6938775510204085,1.9986696414085794
4.795918367346939,1.9847752950478716
4.8979591836734695,1.9770032070382209
5.0,1.9689223176853528
