,miji,r_eno,t_eno,r_izo,t_izo
93,1.2520805369127517,0.636,0.364,0.66375,0.33625
94,1.2654362416107383,0.63175,0.36825,0.67675,0.32325
95,1.278791946308725,0.635,0.365,0.67975,0.32025
96,1.2921476510067114,0.63125,0.36875,0.674,0.326
97,1.305503355704698,0.628,0.372,0.673,0.327
98,1.3188590604026846,0.639,0.361,0.679,0.321
99,1.3322147651006713,0.62125,0.37875,0.6795,0.3205
100,1.3455704697986577,0.6455,0.3545,0.66825,0.33175
101,1.3589261744966443,0.6385,0.3615,0.6845,0.3155
102,1.372281879194631,0.64725,0.35275,0.698,0.302
103,1.3856375838926176,0.64775,0.35225,0.6775,0.3225
104,1.398993288590604,0.6455,0.3545,0.681,0.319
105,1.4123489932885906,0.657,0.343,0.68625,0.31375
106,1.4257046979865773,0.6505,0.3495,0.68175,0.31825
107,1.439060402684564,0.64725,0.35275,0.69025,0.30975
108,1.4524161073825503,0.6515,0.3485,0.68725,0.31275
109,1.465771812080537,0.65125,0.34875,0.6915,0.3085
110,1.4791275167785236,0.63675,0.36325,0.6975,0.3025
111,1.4924832214765102,0.6575,0.3425,0.69275,0.30725
112,1.5058389261744967,0.65075,0.34925,0.70125,0.29875
113,1.5191946308724833,0.6525,0.3475,0.6915,0.3085
114,1.53255033557047,0.65225,0.34775,0.68425,0.31575
115,1.5459060402684563,0.65825,0.34175,0.713,0.287
116,1.559261744966443,0.66575,0.33425,0.6965,0.3035
117,1.5726174496644296,0.65275,0.34725,0.7055,0.2945
118,1.5859731543624163,0.6575,0.3425,0.7005,0.2995
119,1.5993288590604027,0.65775,0.34225,0.6975,0.3025
120,1.6126845637583893,0.65575,0.34425,0.69775,0.30225
121,1.626040268456376,0.64825,0.35175,0.71,0.29
122,1.6393959731543626,0.67375,0.32625,0.71525,0.28475
123,1.652751677852349,0.65725,0.34275,0.71825,0.28175
124,1.6661073825503356,0.67075,0.32925,0.7175,0.2825
125,1.6794630872483223,0.66975,0.33025,0.7065,0.2935
126,1.692818791946309,0.6655,0.3345,0.726,0.274
127,1.7061744966442953,0.659,0.341,0.7035,0.2965
128,1.719530201342282,0.6685,0.3315,0.70825,0.29175
129,1.7328859060402686,0.66925,0.33075,0.7065,0.2935
130,1.746241610738255,0.679,0.321,0.71925,0.28075
131,1.7595973154362416,0.66675,0.33325,0.70975,0.29025
132,1.7729530201342283,0.67625,0.32375,0.71975,0.28025
133,1.786308724832215,0.67575,0.32425,0.7235,0.2765
134,1.7996644295302013,0.66575,0.33425,0.7235,0.2765
135,1.813020134228188,0.679,0.321,0.72525,0.27475
136,1.8263758389261746,0.68425,0.31575,0.71675,0.28325
137,1.8397315436241612,0.673,0.327,0.71975,0.28025
138,1.8530872483221477,0.664,0.336,0.719,0.281
139,1.8664429530201343,0.66275,0.33725,0.74,0.26
140,1.879798657718121,0.66075,0.33925,0.72075,0.27925
141,1.8931543624161076,0.66725,0.33275,0.724,0.276
142,1.906510067114094,0.6735,0.3265,0.72475,0.27525
143,1.9198657718120806,0.68175,0.31825,0.73,0.27
144,1.9332214765100673,0.6695,0.3305,0.709,0.291
145,1.9465771812080537,0.67675,0.32325,0.72625,0.27375
146,1.9599328859060403,0.67425,0.32575,0.72825,0.27175
147,1.973288590604027,0.6825,0.3175,0.71225,0.28775
148,1.9866442953020136,0.67725,0.32275,0.74125,0.25875
149,2.0,0.67625,0.32375,0.7245,0.2755
150,2.0,0.68225,0.31775,0.734,0.266
151,2.0434782608695654,0.682,0.318,0.7435,0.2565
152,2.0869565217391304,0.68325,0.31675,0.751,0.249
153,2.130434782608696,0.69275,0.30725,0.75575,0.24425
154,2.1739130434782608,0.6825,0.3175,0.74925,0.25075
155,2.217391304347826,0.6865,0.3135,0.74425,0.25575
156,2.260869565217391,0.68325,0.31675,0.74525,0.25475
157,2.3043478260869565,0.6955,0.3045,0.75,0.25
158,2.3478260869565215,0.68075,0.31925,0.75375,0.24625
159,2.391304347826087,0.6925,0.3075,0.76,0.24
160,2.4347826086956523,0.68575,0.31425,0.75675,0.24325
161,2.4782608695652173,0.7005,0.2995,0.7535,0.2465
162,2.5217391304347827,0.685,0.315,0.767,0.233
163,2.5652173913043477,0.69125,0.30875,0.76225,0.23775
164,2.608695652173913,0.6855,0.3145,0.76125,0.23875
165,2.6521739130434785,0.6975,0.3025,0.7675,0.2325
166,2.6956521739130435,0.69625,0.30375,0.76425,0.23575
167,2.7391304347826084,0.70525,0.29475,0.762,0.238
168,2.782608695652174,0.70075,0.29925,0.754,0.246
169,2.8260869565217392,0.69725,0.30275,0.76825,0.23175
170,2.869565217391304,0.70475,0.29525,0.7735,0.2265
171,2.9130434782608696,0.70175,0.29825,0.7635,0.2365
172,2.9565217391304346,0.6945,0.3055,0.769,0.231
173,3.0,0.69625,0.30375,0.772,0.228
174,3.0434782608695654,0.697,0.303,0.78075,0.21925
175,3.0869565217391304,0.69775,0.30225,0.7775,0.2225
176,3.1304347826086953,0.705,0.295,0.77575,0.22425
177,3.1739130434782608,0.71125,0.28875,0.78175,0.21825
178,3.217391304347826,0.70675,0.29325,0.78025,0.21975
179,3.2608695652173916,0.7095,0.2905,0.78675,0.21325
180,3.3043478260869565,0.70175,0.29825,0.789,0.211
181,3.3478260869565215,0.7145,0.2855,0.7795,0.2205
182,3.391304347826087,0.699,0.301,0.7865,0.2135
183,3.4347826086956523,0.71525,0.28475,0.7805,0.2195
184,3.4782608695652173,0.71775,0.28225,0.78625,0.21375
185,3.5217391304347823,0.693,0.307,0.785,0.215
186,3.5652173913043477,0.7065,0.2935,0.7865,0.2135
187,3.608695652173913,0.7165,0.2835,0.78225,0.21775
188,3.6521739130434785,0.71775,0.28225,0.79525,0.20475
189,3.6956521739130435,0.70625,0.29375,0.7895,0.2105
190,3.7391304347826084,0.711,0.289,0.7865,0.2135
191,3.782608695652174,0.70975,0.29025,0.79025,0.20975
192,3.8260869565217392,0.71475,0.28525,0.78775,0.21225
193,3.869565217391304,0.72125,0.27875,0.7915,0.2085
194,3.9130434782608696,0.706,0.294,0.79,0.21
195,3.9565217391304346,0.71575,0.28425,0.79125,0.20875
196,4.0,0.71475,0.28525,0.801,0.199
197,4.0434782608695645,0.71375,0.28625,0.783,0.217
198,4.086956521739131,0.711,0.289,0.80125,0.19875
199,4.130434782608695,0.72075,0.27925,0.7905,0.2095
200,4.173913043478261,0.734,0.266,0.80225,0.19775
201,4.217391304347826,0.72375,0.27625,0.797,0.203
202,4.260869565217391,0.72525,0.27475,0.7945,0.2055
203,4.304347826086957,0.712,0.288,0.80125,0.19875
204,4.3478260869565215,0.71525,0.28475,0.7965,0.2035
205,4.391304347826087,0.713,0.287,0.7975,0.2025
206,4.434782608695652,0.7055,0.2945,0.787,0.213
207,4.478260869565217,0.72375,0.27625,0.80275,0.19725
208,4.521739130434783,0.72275,0.27725,0.795,0.205
209,4.565217391304348,0.728,0.272,0.798,0.202
