,m_hat
10.0,2.0958972484932086
23.357214690901223,2.4643948824067947
54.5559478116852,3.295791760110141
127.42749857031335,3.0062725213004127
297.63514416313194,3.2798288947836345
695.1927961775606,3.142814452798242
1623.776739188721,2.9170671625768088
3792.69019073225,3.014140636111629
8858.667904100823,3.0535354809956856
20691.3808111479,3.0747304956241286
48329.30238571752,3.086105272562534
112883.78916846884,3.057618414334462
263665.08987303555,3.048440928924859
615848.2110660254,3.0555392634015806
1438449.888287663,3.0570533838416942
3359818.286283781,3.058435541433395
7847599.703514607,3.0604022370678017
18329807.108324338,3.060595667274925
42813323.98719387,3.0600141713759617
100000000.0,3.0600949643506694
