,miji,r_eno,t_eno,r_izo,t_izo
0,0.01,0.611,0.389,0.776,0.224
1,0.023355704697986576,0.606,0.394,0.786,0.214
2,0.03671140939597316,0.632,0.368,0.781,0.219
3,0.05006711409395973,0.599,0.401,0.788,0.212
4,0.0634228187919463,0.611,0.389,0.762,0.238
5,0.07677852348993289,0.634,0.366,0.763,0.237
6,0.09013422818791945,0.633,0.367,0.773,0.227
7,0.10348993288590604,0.628,0.372,0.764,0.236
8,0.11684563758389262,0.613,0.387,0.774,0.226
9,0.1302013422818792,0.607,0.393,0.796,0.204
10,0.1435570469798658,0.598,0.402,0.766,0.234
11,0.15691275167785237,0.596,0.404,0.787,0.213
12,0.17026845637583893,0.623,0.377,0.787,0.213
13,0.1836241610738255,0.654,0.346,0.783,0.217
14,0.1969798657718121,0.636,0.364,0.783,0.217
15,0.21033557046979867,0.628,0.372,0.775,0.225
16,0.22369127516778525,0.643,0.357,0.779,0.221
17,0.23704697986577183,0.625,0.375,0.767,0.233
18,0.2504026845637584,0.645,0.355,0.771,0.229
19,0.263758389261745,0.621,0.379,0.775,0.225
20,0.2771140939597316,0.628,0.372,0.798,0.202
21,0.29046979865771816,0.628,0.372,0.794,0.206
22,0.30382550335570474,0.628,0.372,0.793,0.207
23,0.3171812080536913,0.628,0.372,0.781,0.219
24,0.33053691275167785,0.651,0.349,0.804,0.196
25,0.34389261744966443,0.624,0.376,0.774,0.226
26,0.357248322147651,0.67,0.33,0.779,0.221
27,0.3706040268456376,0.647,0.353,0.805,0.195
28,0.38395973154362417,0.621,0.379,0.797,0.203
29,0.39731543624161075,0.646,0.354,0.803,0.197
30,0.41067114093959733,0.655,0.345,0.787,0.213
31,0.4240268456375839,0.651,0.349,0.788,0.212
32,0.4373825503355705,0.664,0.336,0.811,0.189
33,0.4507382550335571,0.64,0.36,0.798,0.202
34,0.46409395973154366,0.651,0.349,0.789,0.211
35,0.47744966442953024,0.652,0.348,0.799,0.201
36,0.4908053691275168,0.636,0.364,0.799,0.201
37,0.5041610738255033,0.679,0.321,0.776,0.224
38,0.51751677852349,0.647,0.353,0.787,0.213
39,0.5308724832214765,0.67,0.33,0.783,0.217
40,0.5442281879194631,0.667,0.333,0.771,0.229
41,0.5575838926174497,0.657,0.343,0.796,0.204
42,0.5709395973154363,0.659,0.341,0.795,0.205
43,0.5842953020134228,0.653,0.347,0.788,0.212
44,0.5976510067114095,0.656,0.344,0.792,0.208
45,0.611006711409396,0.683,0.317,0.781,0.219
46,0.6243624161073826,0.667,0.333,0.802,0.198
47,0.6377181208053692,0.655,0.345,0.803,0.197
48,0.6510738255033557,0.665,0.335,0.799,0.201
49,0.6644295302013423,0.66,0.34,0.786,0.214
50,0.6777852348993288,0.675,0.325,0.801,0.199
51,0.6911409395973155,0.668,0.332,0.791,0.209
52,0.704496644295302,0.662,0.338,0.799,0.201
53,0.7178523489932886,0.678,0.322,0.789,0.211
54,0.7312080536912752,0.673,0.327,0.798,0.202
55,0.7445637583892618,0.662,0.338,0.771,0.229
56,0.7579194630872483,0.688,0.312,0.811,0.189
57,0.771275167785235,0.684,0.316,0.787,0.213
58,0.7846308724832215,0.678,0.322,0.812,0.188
59,0.7979865771812081,0.665,0.335,0.805,0.195
60,0.8113422818791947,0.674,0.326,0.799,0.201
61,0.8246979865771813,0.677,0.323,0.799,0.201
62,0.8380536912751678,0.675,0.325,0.809,0.191
63,0.8514093959731545,0.678,0.322,0.798,0.202
64,0.864765100671141,0.686,0.314,0.811,0.189
65,0.8781208053691275,0.675,0.325,0.792,0.208
66,0.8914765100671141,0.665,0.335,0.79,0.21
67,0.9048322147651007,0.678,0.322,0.802,0.198
68,0.9181879194630873,0.701,0.299,0.807,0.193
69,0.9315436241610738,0.675,0.325,0.807,0.193
70,0.9448993288590605,0.719,0.281,0.815,0.185
71,0.958255033557047,0.702,0.298,0.793,0.207
72,0.9716107382550336,0.683,0.317,0.79,0.21
73,0.9849664429530202,0.692,0.308,0.843,0.157
74,0.9983221476510068,0.709,0.291,0.79,0.21
75,1.0116778523489933,0.685,0.315,0.814,0.186
76,1.02503355704698,0.7,0.3,0.802,0.198
77,1.0383892617449666,0.713,0.287,0.813,0.187
78,1.051744966442953,0.696,0.304,0.799,0.201
79,1.0651006711409396,0.704,0.296,0.795,0.205
80,1.0784563758389263,0.674,0.326,0.804,0.196
81,1.0918120805369127,0.7,0.3,0.789,0.211
82,1.1051677852348993,0.706,0.294,0.799,0.201
83,1.118523489932886,0.69,0.31,0.789,0.211
84,1.1318791946308726,0.692,0.308,0.817,0.183
85,1.145234899328859,0.689,0.311,0.806,0.194
86,1.1585906040268457,0.698,0.302,0.806,0.194
87,1.1719463087248323,0.705,0.295,0.811,0.189
88,1.185302013422819,0.677,0.323,0.805,0.195
89,1.1986577181208053,0.712,0.288,0.787,0.213
90,1.212013422818792,0.697,0.303,0.821,0.179
91,1.2253691275167786,0.697,0.303,0.797,0.203
92,1.2387248322147653,0.7,0.3,0.793,0.207
93,1.2520805369127517,0.711,0.289,0.812,0.188
94,1.2654362416107383,0.696,0.304,0.829,0.171
95,1.278791946308725,0.722,0.278,0.791,0.209
96,1.2921476510067114,0.696,0.304,0.809,0.191
97,1.305503355704698,0.707,0.293,0.799,0.201
98,1.3188590604026846,0.723,0.277,0.814,0.186
99,1.3322147651006713,0.732,0.268,0.787,0.213
100,1.3455704697986577,0.707,0.293,0.795,0.205
101,1.3589261744966443,0.712,0.288,0.812,0.188
102,1.372281879194631,0.717,0.283,0.799,0.201
103,1.3856375838926176,0.7,0.3,0.835,0.165
104,1.398993288590604,0.696,0.304,0.82,0.18
105,1.4123489932885906,0.73,0.27,0.822,0.178
106,1.4257046979865773,0.703,0.297,0.809,0.191
107,1.439060402684564,0.715,0.285,0.81,0.19
108,1.4524161073825503,0.706,0.294,0.824,0.176
109,1.465771812080537,0.71,0.29,0.815,0.185
110,1.4791275167785236,0.702,0.298,0.807,0.193
111,1.4924832214765102,0.681,0.319,0.789,0.211
112,1.5058389261744967,0.71,0.29,0.82,0.18
113,1.5191946308724833,0.703,0.297,0.784,0.216
114,1.53255033557047,0.69,0.31,0.816,0.184
115,1.5459060402684563,0.684,0.316,0.829,0.171
116,1.559261744966443,0.701,0.299,0.816,0.184
117,1.5726174496644296,0.708,0.292,0.826,0.174
118,1.5859731543624163,0.722,0.278,0.793,0.207
119,1.5993288590604027,0.718,0.282,0.784,0.216
120,1.6126845637583893,0.685,0.315,0.814,0.186
121,1.626040268456376,0.719,0.281,0.799,0.201
122,1.6393959731543626,0.709,0.291,0.816,0.184
123,1.652751677852349,0.724,0.276,0.817,0.183
124,1.6661073825503356,0.727,0.273,0.81,0.19
125,1.6794630872483223,0.707,0.293,0.799,0.201
126,1.692818791946309,0.705,0.295,0.808,0.192
127,1.7061744966442953,0.69,0.31,0.831,0.169
128,1.719530201342282,0.695,0.305,0.829,0.171
129,1.7328859060402686,0.726,0.274,0.816,0.184
130,1.746241610738255,0.723,0.277,0.828,0.172
131,1.7595973154362416,0.727,0.273,0.817,0.183
132,1.7729530201342283,0.735,0.265,0.834,0.166
133,1.786308724832215,0.714,0.286,0.835,0.165
134,1.7996644295302013,0.71,0.29,0.832,0.168
135,1.813020134228188,0.719,0.281,0.827,0.173
136,1.8263758389261746,0.706,0.294,0.823,0.177
137,1.8397315436241612,0.739,0.261,0.829,0.171
138,1.8530872483221477,0.705,0.295,0.848,0.152
139,1.8664429530201343,0.706,0.294,0.82,0.18
140,1.879798657718121,0.705,0.295,0.812,0.188
141,1.8931543624161076,0.718,0.282,0.812,0.188
142,1.906510067114094,0.705,0.295,0.83,0.17
143,1.9198657718120806,0.715,0.285,0.846,0.154
144,1.9332214765100673,0.732,0.268,0.812,0.188
145,1.9465771812080537,0.705,0.295,0.821,0.179
146,1.9599328859060403,0.704,0.296,0.803,0.197
147,1.973288590604027,0.722,0.278,0.802,0.198
148,1.9866442953020136,0.71,0.29,0.802,0.198
149,2.0,0.717,0.283,0.813,0.187
150,2.0,0.72,0.28,0.82,0.18
151,2.0434782608695654,0.72,0.28,0.837,0.163
152,2.0869565217391304,0.71,0.29,0.85,0.15
153,2.130434782608696,0.722,0.278,0.839,0.161
154,2.1739130434782608,0.732,0.268,0.814,0.186
155,2.217391304347826,0.731,0.269,0.837,0.163
156,2.260869565217391,0.753,0.247,0.811,0.189
157,2.3043478260869565,0.714,0.286,0.842,0.158
158,2.3478260869565215,0.723,0.277,0.838,0.162
159,2.391304347826087,0.726,0.274,0.832,0.168
160,2.4347826086956523,0.72,0.28,0.833,0.167
161,2.4782608695652173,0.727,0.273,0.82,0.18
162,2.5217391304347827,0.731,0.269,0.808,0.192
