,miji,r_eno,t_eno,r_izo,t_izo
0,0.01,0.00957,0.99043,0.0054,0.9946
1,0.023,0.02211,0.97789,0.01289,0.98711
2,0.05061224489795919,0.04561,0.95439,0.02711,0.97289
3,0.09122448979591836,0.07728,0.92272,0.04564,0.95436
4,0.12,0.09556,0.90444,0.05904,0.94096
5,0.13183673469387755,0.10465,0.89535,0.06398,0.93602
6,0.17244897959183675,0.12896,0.87104,0.08024,0.91976
7,0.1825,0.1326,0.8674,0.08391,0.91609
8,0.2,0.14168,0.85832,0.09078,0.90922
9,0.21306122448979592,0.14801,0.85199,0.09411,0.90589
10,0.2536734693877551,0.1683,0.8317,0.10717,0.89283
11,0.2805263157894737,0.17826,0.82174,0.11708,0.88292
12,0.2942857142857143,0.18559,0.81441,0.11903,0.88097
13,0.3348979591836735,0.2017,0.7983,0.12821,0.87179
14,0.342,0.20421,0.79579,0.13181,0.86819
15,0.3610526315789474,0.20689,0.79311,0.13868,0.86132
16,0.37551020408163266,0.21362,0.78638,0.13986,0.86014
17,0.41612244897959183,0.22435,0.77565,0.15161,0.84839
18,0.44157894736842107,0.23416,0.76584,0.15669,0.84331
19,0.45673469387755106,0.23953,0.76047,0.16208,0.83792
20,0.49734693877551023,0.25139,0.74861,0.16813,0.83187
21,0.5015000000000001,0.25089,0.74911,0.17008,0.82992
22,0.5221052631578947,0.25539,0.74461,0.17222,0.82778
23,0.5379591836734694,0.2615,0.7385,0.17589,0.82411
24,0.54,0.25952,0.74048,0.17724,0.82276
25,0.5785714285714286,0.26832,0.73168,0.18575,0.81425
26,0.6026315789473684,0.27381,0.72619,0.18686,0.81314
27,0.6191836734693877,0.27645,0.72355,0.18973,0.81027
28,0.659795918367347,0.28574,0.71426,0.19965,0.80035
29,0.661,0.28597,0.71403,0.19695,0.80305
30,0.6831578947368422,0.29072,0.70928,0.20158,0.79842
31,0.7004081632653062,0.29273,0.70727,0.2047,0.7953
32,0.7410204081632653,0.29973,0.70027,0.20975,0.79025
33,0.7636842105263157,0.30207,0.69793,0.21145,0.78855
34,0.7816326530612245,0.30393,0.69607,0.21701,0.78299
35,0.8205,0.31154,0.68846,0.22201,0.77799
36,0.8222448979591837,0.3094,0.6906,0.21824,0.78176
37,0.8442105263157895,0.31329,0.68671,0.22199,0.77801
38,0.8628571428571429,0.31617,0.68383,0.2271,0.7729
39,0.9034693877551021,0.32251,0.67749,0.23041,0.76959
40,0.9247368421052631,0.32458,0.67542,0.23396,0.76604
41,0.9440816326530612,0.32711,0.67289,0.23453,0.76547
42,0.9600000000000001,0.32814,0.67186,0.23594,0.76406
43,0.98,0.32835,0.67165,0.24045,0.75955
44,0.9846938775510204,0.33034,0.66966,0.24293,0.75707
45,1.0052631578947369,0.33409,0.66591,0.24304,0.75696
46,1.0253061224489797,0.33527,0.66473,0.24285,0.75715
47,1.0659183673469388,0.33814,0.66186,0.24624,0.75376
48,1.0857894736842104,0.34047,0.65953,0.25077,0.74923
49,1.106530612244898,0.34386,0.65614,0.25178,0.74822
50,1.1471428571428572,0.34868,0.65132,0.2565,0.7435
