,miji,rji,tji
0,0.01,0.0104,0.9896
1,0.0301010101010101,0.0307,0.9693
2,0.050202020202020206,0.0461,0.9539
3,0.0703030303030303,0.0608,0.9392
4,0.0904040404040404,0.0763,0.9237
5,0.11050505050505051,0.0874,0.9126
6,0.13060606060606061,0.1056,0.8944
7,0.15070707070707073,0.1152,0.8848
8,0.17080808080808083,0.126,0.874
9,0.19090909090909092,0.137,0.863
10,0.21101010101010104,0.1476,0.8524
11,0.23111111111111113,0.1548,0.8452
12,0.2512121212121212,0.1693,0.8307
13,0.27131313131313134,0.1803,0.8197
14,0.29141414141414146,0.1878,0.8122
15,0.3115151515151515,0.1901,0.8099
16,0.33161616161616164,0.1977,0.8023
17,0.35171717171717176,0.2083,0.7917
18,0.3718181818181818,0.2151,0.7849
19,0.39191919191919194,0.212,0.788
20,0.41202020202020206,0.2258,0.7742
21,0.43212121212121213,0.2384,0.7616
22,0.45222222222222225,0.2413,0.7587
23,0.47232323232323237,0.2408,0.7592
24,0.49242424242424243,0.2494,0.7506
25,0.5125252525252526,0.248,0.752
26,0.5326262626262627,0.2532,0.7468
27,0.5527272727272727,0.2598,0.7402
28,0.5728282828282829,0.2667,0.7333
29,0.592929292929293,0.2685,0.7315
30,0.613030303030303,0.2752,0.7248
31,0.6331313131313132,0.2785,0.7215
32,0.6532323232323233,0.2806,0.7194
33,0.6733333333333333,0.2855,0.7145
34,0.6934343434343435,0.2912,0.7088
35,0.7135353535353536,0.2891,0.7109
36,0.7336363636363636,0.2969,0.7031
37,0.7537373737373738,0.3028,0.6972
38,0.7738383838383839,0.3009,0.6991
39,0.793939393939394,0.3122,0.6878
40,0.8140404040404041,0.3051,0.6949
41,0.8341414141414142,0.3189,0.6811
42,0.8542424242424242,0.3146,0.6854
43,0.8743434343434344,0.3177,0.6823
44,0.8944444444444445,0.326,0.674
45,0.9145454545454546,0.322,0.678
46,0.9346464646464647,0.3327,0.6673
47,0.9547474747474748,0.3285,0.6715
48,0.9748484848484849,0.3383,0.6617
49,0.994949494949495,0.3282,0.6718
50,1.0150505050505052,0.3324,0.6676
51,1.0351515151515152,0.3375,0.6625
52,1.0552525252525253,0.3402,0.6598
53,1.0753535353535355,0.3506,0.6494
54,1.0954545454545455,0.3351,0.6649
55,1.1155555555555556,0.3427,0.6573
56,1.1356565656565658,0.3469,0.6531
57,1.1557575757575758,0.3528,0.6472
58,1.175858585858586,0.3429,0.6571
59,1.1959595959595961,0.3529,0.6471
60,1.216060606060606,0.3447,0.6553
61,1.2361616161616162,0.3619,0.6381
62,1.2562626262626264,0.3582,0.6418
63,1.2763636363636364,0.3572,0.6428
64,1.2964646464646465,0.3506,0.6494
65,1.3165656565656567,0.3615,0.6385
66,1.3366666666666667,0.3721,0.6279
67,1.3567676767676768,0.3591,0.6409
68,1.376868686868687,0.367,0.633
69,1.396969696969697,0.3659,0.6341
70,1.4170707070707071,0.3704,0.6296
71,1.4371717171717173,0.37,0.63
72,1.4572727272727273,0.3662,0.6338
73,1.4773737373737375,0.3728,0.6272
74,1.4974747474747476,0.3738,0.6262
75,1.5175757575757576,0.3782,0.6218
76,1.5376767676767678,0.3801,0.6199
77,1.557777777777778,0.3865,0.6135
78,1.5778787878787879,0.3732,0.6268
79,1.597979797979798,0.3806,0.6194
80,1.6180808080808082,0.3819,0.6181
81,1.6381818181818182,0.386,0.614
82,1.6582828282828284,0.386,0.614
83,1.6783838383838385,0.3831,0.6169
84,1.6984848484848485,0.3882,0.6118
85,1.7185858585858587,0.3817,0.6183
86,1.7386868686868688,0.3976,0.6024
87,1.7587878787878788,0.3963,0.6037
88,1.778888888888889,0.3943,0.6057
89,1.7989898989898991,0.3877,0.6123
90,1.819090909090909,0.388,0.612
91,1.8391919191919193,0.3882,0.6118
92,1.8592929292929294,0.3923,0.6077
93,1.8793939393939394,0.3908,0.6092
94,1.8994949494949496,0.4007,0.5993
95,1.9195959595959597,0.4009,0.5991
96,1.9396969696969697,0.3964,0.6036
97,1.9597979797979799,0.3951,0.6049
98,1.97989898989899,0.3999,0.6001
99,2.0,0.3943,0.6057
100,2.0,0.4039,0.5961
101,2.061224489795918,0.3952,0.6048
102,2.122448979591837,0.4068,0.5932
103,2.183673469387755,0.4027,0.5973
104,2.2448979591836733,0.4158,0.5842
105,2.306122448979592,0.4172,0.5828
106,2.36734693877551,0.4116,0.5884
107,2.4285714285714284,0.4028,0.5972
108,2.489795918367347,0.4172,0.5828
109,2.5510204081632653,0.423,0.577
110,2.612244897959184,0.4207,0.5793
111,2.673469387755102,0.4183,0.5817
112,2.7346938775510203,0.417,0.583
113,2.795918367346939,0.4177,0.5823
114,2.857142857142857,0.4288,0.5712
115,2.9183673469387754,0.4362,0.5638
116,2.979591836734694,0.4275,0.5725
117,3.0408163265306123,0.4324,0.5676
118,3.1020408163265305,0.4307,0.5693
119,3.163265306122449,0.4365,0.5635
120,3.2244897959183674,0.4275,0.5725
121,3.2857142857142856,0.4363,0.5637
122,3.3469387755102042,0.4359,0.5641
123,3.4081632653061225,0.4456,0.5544
124,3.4693877551020407,0.4329,0.5671
125,3.5306122448979593,0.4447,0.5553
126,3.5918367346938775,0.4482,0.5518
127,3.6530612244897958,0.4463,0.5537
128,3.7142857142857144,0.4452,0.5548
129,3.7755102040816326,0.4418,0.5582
130,3.836734693877551,0.4393,0.5607
131,3.8979591836734695,0.4411,0.5589
132,3.9591836734693877,0.447,0.553
133,4.020408163265306,0.443,0.557
134,4.081632653061225,0.436,0.564
135,4.142857142857142,0.4448,0.5552
136,4.204081632653061,0.4565,0.5435
137,4.26530612244898,0.4403,0.5597
138,4.326530612244898,0.4467,0.5533
139,4.387755102040816,0.4476,0.5524
140,4.448979591836735,0.4453,0.5547
141,4.5102040816326525,0.4414,0.5586
142,4.571428571428571,0.4504,0.5496
143,4.63265306122449,0.4549,0.5451
144,4.6938775510204085,0.4591,0.5409
145,4.755102040816326,0.4474,0.5526
146,4.816326530612245,0.4584,0.5416
147,4.877551020408163,0.4558,0.5442
148,4.938775510204081,0.4578,0.5422
149,5.0,0.4538,0.5462
